Date,Close
5/1/2018 ,67.8
5/2/2018 ,68.39
5/3/2018 ,66.82
5/4/2018 ,69.84
5/7/2018 ,70.37
5/8/2018 ,69.61
5/9/2018 ,71.31
5/10/2018 ,72.9
5/11/2018 ,71.7
5/14/2018 ,71.7
5/15/2018 ,70.17
5/16/2018 ,70.33
5/17/2018 ,71.66
5/18/2018 ,71.99
5/21/2018 ,71.45
5/22/2018 ,71.35
5/23/2018 ,71.74
5/24/2018 ,70.8
5/25/2018 ,71.46
5/29/2018 ,70.64
5/30/2018 ,70.69
5/31/2018 ,70.91
6/1/2018 ,73.03
6/4/2018 ,72.79
6/5/2018 ,72.77
6/6/2018 ,74.79
6/7/2018 ,73.95
6/8/2018 ,74.29
6/11/2018 ,75
6/12/2018 ,75.94
6/13/2018 ,76.67
6/14/2018 ,77.71
6/15/2018 ,77.41
6/18/2018 ,77.87
6/19/2018 ,77.24
6/20/2018 ,76.84
6/21/2018 ,76.05
6/22/2018 ,75.98
6/25/2018 ,74.7
6/26/2018 ,75.27
6/27/2018 ,73.42
6/28/2018 ,76.01
6/29/2018 ,76.32
7/2/2018 ,77.28
7/3/2018 13:00:00,75.88
7/5/2018 ,76.19
7/6/2018 ,77.19
7/9/2018 ,76.84
7/10/2018 ,76.19
7/11/2018 ,78.61
7/12/2018 ,81.37
7/13/2018 ,81.5
7/16/2018 ,80.23
7/17/2018 ,80.95
7/18/2018 ,81.27
7/19/2018 ,80.61
7/20/2018 ,79.65
7/23/2018 ,79.75
7/24/2018 ,78.41
7/25/2018 ,79.45
7/26/2018 ,77.65
7/27/2018 ,75.36
7/30/2018 ,72.75
7/31/2018 ,73.42
8/1/2018 ,73.08
8/2/2018 ,74.06
8/3/2018 ,71.32
8/6/2018 ,70.57
8/7/2018 ,70.23
8/8/2018 ,70.01
8/9/2018 ,70.5
8/10/2018 ,70.61
8/13/2018 ,70.52
8/14/2018 ,71.29
8/15/2018 ,69.31
8/16/2018 ,69.69
8/17/2018 ,69.15
8/20/2018 ,68.93
8/21/2018 ,69.66
8/22/2018 ,71.43
8/23/2018 ,71.17
8/24/2018 ,74.09
8/27/2018 ,74.09
8/28/2018 ,74
8/29/2018 ,74.91
8/30/2018 ,74.1
8/31/2018 ,72.1
9/4/2018 ,72.98
9/5/2018 ,71.65
9/6/2018 ,71.96
9/7/2018 ,73.57
9/10/2018 ,74.26
9/11/2018 ,79.5
9/12/2018 ,80.52
9/13/2018 ,80.43
9/14/2018 ,81.27
9/17/2018 ,78.88
9/18/2018 ,79.63
9/19/2018 ,79.58
9/20/2018 ,80.65
9/21/2018 ,80.29
9/24/2018 ,80.6
9/25/2018 ,80.53
9/26/2018 ,81.57
9/27/2018 ,82.87
9/28/2018 ,83.19
10/1/2018 ,83.28
10/2/2018 ,83.39
10/3/2018 ,83.02
10/4/2018 ,80.36
10/5/2018 ,79.59
10/8/2018 ,77.63
